station_id,name,lat,lon,bike_racks
153308740,Uhlandstraße/ Ostend str.,50.113289,8.696244,0
171721984,IU Internationale Hochschule,50.099988,8.684855,0
196761545,Ostbahnof II,50.11175,8.708306,0
205455376,Nationaler Radverkehrskongress,50.110807,8.654365,0
210219012,Offenbach Hafen 2 / Nordring,50.112528,8.741389,0
210219671,Offenbach Wetter- und Klima-Werkstatt,50.104937,8.758895,0
210224265,Offenbach Capitol Theater,50.109167,8.756028,0
210226247,Künstler*innenhaus Mousonturm,50.119028,8.699667,0
213262708,HORIZONT Kongress,50.121407,8.656444,0
213865203,Offenbach Alte Schlossrei,50.108722,8.743306,0
