collected_at_utc,collected_at_germany,system_name,domain,city_uid,city_name,place_uid,place_number,name,address,lat,lng,is_station,is_floating_bike,active_place,maintenance,terminal_type,place_type,booked_bikes,bikes,bikes_available_to_rent,bike_racks,free_racks,special_racks,free_special_racks,bike_types_json,bike_count_from_list
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472122,42597,Weinprobierstand,,49.999123,8.306297,True,False,1,False,,19,0,10,10,10,0,0,0,"{""188"": 4, ""191"": 3, ""295"": 3}",10
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472123,42598,Wiener Platz,,50.005935,8.294045,True,False,1,False,,19,0,4,4,6,2,0,0,"{""188"": 2, ""191"": 1, ""295"": 1}",4
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472124,42599,Wilhelm-Raabe-Straße,,50.003488,8.213176,True,False,1,False,,19,0,1,1,6,4,0,0,"{""225"": 1}",1
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472126,42601,Zitadellenweg / Bahnhof Römisches Theater,,49.992564,8.278429,True,False,1,False,,14,0,7,7,10,3,0,0,"{""188"": 3, ""191"": 4}",7
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473016,42602,Mühlweg,"Mühlweg - Am Wildgraben, Einmündung Mühlweg zu Am Wildgraben",49.985258,8.253869,True,False,1,False,,19,0,0,0,9,8,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473017,42633,Friedrich-Ebert-Straße,"Friedrich-Ebert-Straße, Friedrich-Ebert-Straße - vor KITA",49.97849,8.29384,True,False,1,False,,19,0,6,6,6,0,0,0,"{""188"": 2, ""191"": 3, ""295"": 1}",6
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473018,42603,Ricarda-Huch-Straße,"Ricarda-Huch-Straße, auf Gehweg neben Dönerladen",49.997308,8.236934,True,False,1,False,,19,0,7,7,9,2,0,0,"{""188"": 4, ""191"": 1, ""295"": 2}",7
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473019,42634,Krongarten,"Bürgermeister Alexander Straße , neben Bushaltestelle - vor Aldi",50.00966,8.217966,True,False,1,False,,14,0,7,7,12,4,0,0,"{""188"": 1, ""225"": 1, ""295"": 3, ""348"": 2}",7
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473020,42604,Suderstraße,"Suderstraße 23, Kreuzung Suderstraße - Turmstraße",50.017769,8.229665,True,False,1,False,,19,0,17,17,9,0,0,0,"{""188"": 9, ""191"": 3, ""295"": 4, ""348"": 1}",17
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473021,42635,Hechtsheimer Straße,"Kreuzung Hechtstheimer Straße, Am Stiftswingert - gepflasterte Grünfläche ",49.988392,8.279353,True,False,1,False,,19,0,0,0,9,9,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473022,42605,Südwestrundfunk / Am Fort Gonsenheim,"Am Fort Gonsenheim 149-141, 55122 Mainz - SWR Gelände",50.003952,8.247983,True,False,1,False,,19,0,0,0,6,6,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473023,42636,Wilhelm-Quetsch-Straße / zum Gutenberg Center,Wilhelm-Quetsch-Straße - bei Haltestelle,49.97028,8.236138,True,False,1,False,,14,0,8,8,18,9,0,0,"{""188"": 1, ""295"": 4, ""348"": 3}",8
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473024,42606,Hochheimer Straße,"Hochheimer Straße 2, 55252 Wiesbaden",50.006676,8.289219,True,False,1,False,,19,0,2,2,9,7,0,0,"{""188"": 1, ""191"": 1}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473025,42637,Gonsenheimer Straße,"Eaubonner Straße / Gonsenheimer Straße, Budenheim",50.020938,8.178058,True,False,1,False,,14,0,0,0,11,11,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473026,42607,Rathaus Budenheim,"Kettelerstraße / Julius-Leber-Straße, Budenheim",50.02156,8.165721,True,False,1,False,,14,0,15,15,11,0,0,0,"{""188"": 7, ""191"": 8}",15
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473027,42638,Tanzplatz,Tanzplatz,49.982897,8.302903,True,False,1,False,,19,0,6,6,7,1,0,0,"{""188"": 5, ""295"": 1}",6
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473028,42608,Rilkeallee,"Rilkeallee; Parkplatzrand, Richtung Sportplatz",49.955142,8.19607,True,False,1,False,,19,0,5,5,9,4,0,0,"{""188"": 1, ""191"": 1, ""348"": 3}",5
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473029,42639,Hebbelstraße / Bürgerhaus Lerchenberg,Hebbelstr vor dem Bürgerhaus,49.957169,8.189822,True,False,1,False,,14,0,5,5,13,7,0,0,"{""188"": 1, ""191"": 3, ""348"": 1}",5
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473030,42609,Am Sonnigen Hang,Zum Knechelsberg; Haltestellenbereich,49.963144,8.232427,True,False,1,False,,14,0,1,1,8,5,0,0,"{""348"": 1}",1
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473031,42640,Hindemithstraße,Hindemithstr. an der Straßenbahnhaltestelle,49.958444,8.19726,True,False,1,False,,14,0,3,3,7,4,0,0,"{""188"": 1, ""225"": 1, ""348"": 1}",3
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473032,42610,Budenheim Golfplatz,"Budenheimer Parkallee, bei Bushaltestelle in der Nähe, Budenheim",50.026435,8.194549,True,False,1,False,,19,0,6,6,10,4,0,0,"{""188"": 3, ""191"": 1, ""295"": 1, ""348"": 1}",6
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473034,42611,Eaubonner Straße ,"Eaubonner Str. 10, Budenheim",50.018705,8.170548,True,False,1,False,,14,0,0,0,10,10,0,0,{},0
